ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Super quiet
  
",5.0 颗星，最多 5 颗星,D'Angela Stafford,2023年2月24日 在美国审核,"







  
  
    Absolutely happy with my purchase. Super quiet. The installer was so shocked at how quiet it was and all the functions.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
,"







  
  
    Installing
  
",5.0 颗星，最多 5 颗星,George Hayes,2023年2月22日 在美国审核,"







  
  
    I’m a contractor and I build and install things all week long every week, year round. I installed this unit for a client today in a attic of a log cabin. Took me about 2.5 hrs to install it. First time I installed this model. I took my time and watched a YouTube video on how to do the installation. The YouTube video was excellent.  All the parts were in the box.  I did have to add cedar shims on the outside of the house for the angle brackets.  I also added some larger deck screws into the window bracket into the window frame. Just to be safe.  The tools I used were impact driver, drill bit to pre drill, a small screw driver, a large screw driver, tape measure, extra deck screws, pencil, a knife to cut the insulation foam.  You would not have to have a impact driver to do this project. I did have a hard time getting the anti tip brackets out after I installed the unit. My suggestion is to take the clear tape off and make sure the anti tip brackets go in and out before you install the unit. The anti tip brackets were kind of hidden. Otherwise it wasn’t that bad to install.  Hope this helps.It’s a neat and well thought out design.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
,"







  
  
    Hardware good - Software bad & getting worse.
  
",3.0 颗星，最多 5 颗星,TC,2023年2月22日 在美国审核,"







  
  
    I love the physical air conditioner itself, it’s quiet and efficient and cools very well and it installs easily.  The phone app for controlling the AC used to work great, but Midea is trying to force everyone onto a new app that fails to connect to the AC the majority of the time which makes this formerly great AC very frustrating to use. I have an iPhone and the App Store also shows that the new app will access my photos and videos and audio recordings— that seems entirely unnecessary for an app that is just supposed to turn on/off an air conditioner and set the temperature.  In conclusion, if you are satisfied using the buttons on the unit, or the included remote control, then this is a great air conditioner, but if you’d like to control the AC remotely or from a smart device then be prepared for frustration and failure.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
,"







  
  
    Short cooling life.  Lasted less than 2 years.
  
",2.0 颗星，最多 5 颗星,Gayle Curry,2023年2月22日 在美国审核,"







  
  
    Cooled well the first summer, but could not keep up a year later.  Now in February, 80 degree days and 70 degree nights, I’m better off with an open window.  12,000 btu in a 200 sq. Ft room.  Cost way too much to be nothing more than a noisy fan less than 2 years old.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=5
,"







  
  
    they are great
  
",5.0 颗星，最多 5 颗星,Yvon G.,2023年2月21日 在美国审核,"







  
  
    thanks i like it
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    NO CUSTOMER SERVICE
  
",1.0 颗星，最多 5 颗星,Eric Klemmensen,2023年2月19日 在美国审核,"







  
  
    Save yourself the headache and buy another unit. When there are issues, Midea's customer service is the worst.I know other reviews on Amazon said the same thing but you really don't know how bad it is until you deal with them yourself. I wish I didn't buy this unit. So many issues that I can't get help in because of their customer service doesn't get back with ANYONE.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    Good so Far
  
",5.0 颗星，最多 5 颗星,texasgirl53,2023年2月17日 在美国审核,"







  
  
    We haven't had it long enough to say its energy efficient but there is no noise at all, its increatable. Love the auto on and off. We'll see how it does in July and Aug when South Texas is in heat. Do get extra edge insulation, what comes with it sucks.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    This is not a heat pump
  
",3.0 颗星，最多 5 颗星,John C. Mullin,2023年2月15日 在美国审核,"







  
  
    I searched for heat pumps and window minisplits. Searching keeps going to cooling A/C units. Which I didn't realize. This seems like a good air conditioner at a good price, but you done want to leave it in year round because it is not a heating compressor.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    Fantastic
  
",5.0 颗星，最多 5 颗星,Stp,2023年2月15日 在美国审核,"







  
  
    Very Easy to install. Very quiet
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    These are cool (hehe)
  
",5.0 颗星，最多 5 颗星,ThatMan,2023年2月15日 在美国审核,"







  
  
    Third one now.  They are like having a mini-split system without having to mess with charging gas lines and running tubes.  Very quiet compared to the old fashioned AC boxes.  The variable speed compressor motor being able to run at only the speed needed is such a great improvement over the old style.  We ran 3 of these all summer and our electric bill did go up but not nearly what it used to with the central air system.  At least $100 a month lower.  I'm going to get a 4th one for next Summer to complete my whole house cooling system.  It's definitely worth paying a bit more for this than for a regular box AC.  The lower noise level is worth it for just that alone.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    Best ever!
  
",5.0 颗星，最多 5 颗星,N. Wright,2023年2月11日 在美国审核,"







  
  
    My wife hates noise in the bedroom at night, but she also hates being too warm in bed, so an air conditioner, for the bedroom is always been a compromise for us.Until we found this one. This machine has a revolutionary design that keeps the “noisy parts” outside the window, where it keeps squirrels awake. On the inside of the window is only a vent and some controls, making for a significantly quieter experience than any air conditioner we’ve ever tried, including a couple that are supposed to be “the worlds quietest”.We used it all summer in ‘22, so only one year of use on this so far, but it worked without a hiccup, and the noise level seemed like less than half of anything we had previously.If I had four thumbs, they would all be pointed up for this product! :-)
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    5 Star IF it would have stayed working!
  
",4.0 颗星，最多 5 颗星,DAVID CZERWINSKI,2023年2月6日 在美国审核,"







  
  
    This would have been a great unit but it only lasted 10 months I must say their tech support is great for a replacement. I call the number listed on the website somebody answered right away took my information and transferred me to support I read them the problem code that was displayed on the screen and they told me they were going to refund me I received a check about 16 days later I would have preferred another unit but I'll just go out and buy another one. I do recommend it and I will buy the same unit It was efficient and quiet. It  just died too soon!
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    Best AC I have Had
  
",5.0 颗星，最多 5 颗星,Amazon Customer,2023年2月3日 在美国审核,"







  
  
    This is the best AC I have ever ordered. Worth every penny. I live on 5th floor in NYC apartment and wanted to make sure I got an AC that wouldn't have any chances of falling and I wanted something that would cool my entire room and wouldn't be loud. This ac cools very quickly and I am very happy with the purchase I made. I am going on a year of having it and I have had no problems so far.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    Dead at a very young age.
  
",1.0 颗星，最多 5 颗星,Sam F.,2023年1月31日 在美国审核,"







  
  
    Ordered May 7 by January 15 - dead. It started making a noise about a month old and kept getting louder until it died.No support from Amazon , I hope Midea will give some support.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=6
,"







  
  
    Lasted 16 months
  
",3.0 颗星，最多 5 颗星,Farmer Ray,2023年1月30日 在美国审核,"







  
  
    I bought three of these units at different times. The first one is two years old and is no longer working at all, So I reinstalled my seven-year-old window unit from General Electric it’s loud but it works.  I bought this unit about 16 months ago. It’s nice and quiet and works very well. It ran nearly full time 10 or 11 months of that timeframe. Now it’s got a loud hum that sounds like it’s coming from the fan motor.The third unit is about seven months old and working perfectly still.Concept is great, when they work and they work well but for the price they quit working way too soon
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Works even better than company stated. Love It!!
  
",5.0 颗星，最多 5 颗星, Pittman,2023年1月30日 在美国审核,"







  
  
    This is the best a/c unit I have ever owned. Works even better than advertised.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    low noise air conditioner
  
",5.0 颗星，最多 5 颗星,Rongfang ,2023年1月28日 在美国审核,"







  
  
    This is one of the quietest air conditioners i've ever seen
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Damaged on Arrival - Still Works!
  
",5.0 颗星，最多 5 颗星,Jonathan,2023年1月27日 在美国审核,"







  
  
    Box looked like it got punted across a parking lot. Box damage is normal for heavy products shipped to home, but... WOW. Despite the severely bent support frame on the evaporator and bent fins, the unit works exceptionally well. Very quiet! Fixed bent fins with a small flathead screwdriver.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Works well
  
",4.0 颗星，最多 5 颗星,Bmr16,2023年1月26日 在美国审核,"







  
  
    Much lighter and quieter than our old AC window units. I like that I can control it with the app on my phone. I just don't like that the remote doesn't always work. We will push buttons and it makes noise but nothing happens or it will select something else that we didn't push.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Best ac ever
  
",5.0 颗星，最多 5 颗星,gqueen2012,2023年1月24日 在美国审核,"







  
  
    Bought this for my bedroom on the other side of the central air unit in my house.  Love in Florida and the sun is on the other side of the house at bedtime but it's stuffy in the room during day and still warm at night.  In the hottest months I run it at night.  During the rest of the year I run it an hour or half hour just to cool the room down at night and it stays comfortable.  There is a timer on it for that so it's set it and forget it.  It does make strange noises at times and it's shut off on me before without a timer on.  I wake up several times at night so if it's off, I just turn it back on. All in all it's the best window ac I've ever owned.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Piece of junk
  
",1.0 颗星，最多 5 颗星,Daniel,2023年1月23日 在美国审核,"







  
  
    It is a piece of junk. Don’t buy it. It won’t last 2yrs
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Low Noise
  
",4.0 颗星，最多 5 颗星,JP COTE,2023年1月22日 在美国审核,"







  
  
    I just do a quick test and it seem to work well. I did not finish the installation for the moment.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Worst AC I've ever bought.
  
",1.0 颗星，最多 5 颗星,Ross,2023年1月22日 在美国审核,"







  
  
    Its quiet because it barely blows any air. I could fart more wind than this thing puts out. Theres no point to even having high mid n low. Low is practically off and high blows less air than my 20 year old car fan on low. In concept its great but thats it…Box was also trashed and missing the mounting bracket..
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Very nice quality unit.
  
",5.0 颗星，最多 5 颗星,Uncle Ike,2023年1月20日 在美国审核,"







  
  
    This comes with everything you need to install, high quality hardware, amazingly quiet and efficient unit.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    A Silent Window AC Unit
  
",5.0 颗星，最多 5 颗星,ScaryCool,2023年1月20日 在美国审核,"







  
  
    My family has been using window AC units for years now as it's much more cost effective than using central (at least with our older model)However, some AC units can get loud and the constant whirring sound gets old.I do NOT have that problem with this one.I have my computer with my mic set up relatively close and I feel pretty confident you could record a podcast with it on if you wanted to.For better reference: I live in Florida and have the 8000BTU model. I only use low as it'll freeze me out even come Summer time!Only ""con"" is that you'll have to get creative with covering as blinds/curtains will stop at the top of the unit and as this doesn't use the ""accordion style"" covering of other models, the window is see through on the sides of the AC.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    So far so good.
  
",5.0 颗星，最多 5 颗星,Steven Ryan,2023年1月19日 在美国审核,"







  
  
    I purchased this product in the summer of 2022. It worked perfectly throughout that summer. It was very easy to install, and is extremely quiet. How it will operate during the next season is still to be seen, but as of this writing I have no complaints.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    So Quiet!
  
",5.0 颗星，最多 5 颗星,cory,2023年1月15日 在美国审核,"







  
  
    This thing is unbelievably quiet! I've owned dozens of window units over the years but not one has been more quiet than a standard box fan.. this is. I can't even hear the typical ""clunk"" of the compressor starting.Yes, installation is more involved, but not at all difficult. Do you need two people? Yeah you do.Midea, my only suggestion to would be to put a long, single section of the white foam than can reach across the entire width of the window. I plan on putting an adjustable screen in and could use the extra height with the window all the way raised. If you'll sell it to me, let me know.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Window air conditioner -
  
",5.0 颗星，最多 5 颗星,Shadylane Books,2023年1月15日 在美国审核,"







  
  
    This is best one I've ever bought, I bought 2 of them.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Excellent
  
",5.0 颗星，最多 5 颗星,nick anderson,2023年1月13日 在美国审核,"







  
  
    Used it for a whole season and I was very very happy with everything about it
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Great little units
  
",5.0 颗星，最多 5 颗星,Rhuby Dub,2023年1月9日 在美国审核,"







  
  
    We got a couple of these for our upstairs apartment. They really work great, delightfully quiet and easy to operate. One thing I wish for is an AC unit that is NOT white. Even an ivory color would be better. Still, I highly recommend.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Not worth the price.
  
",1.0 颗星，最多 5 颗星,sm210,2023年1月7日 在美国审核,"







  
  
    Do not buy this expensive ac unit. Not worth the price
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    AWESOME!
  
",5.0 颗星，最多 5 颗星,Stephen Bowman,2023年1月7日 在美国审核,"







  
  
    We have bought 2 of these and we are 100% satisfied, beyond quiet, you do have to set up this thing that holds it up, but it's pretty easy and they send you all of that, you can control it from their app so if you're gone you don't have to run it and you can turn it on remotely before you get home so you're cool, nothing like the old style window units, very efficient on power last bill for the summer (S.C) was 68 dollars and that was from running 2 the entire time, the living room one at 78 and the bedroom at 65, it will come on and go off if set high like 78 or keep running if set low like 65, the remote is solid, not rinky dink, can't recommend this product enough.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Terrible loud fan noise
  
",1.0 颗星，最多 5 颗星,Abby B.,2023年1月7日 在美国审核,"







  
  
    Too expensive for a loud clicking fan noise this early. Please stand by your product and remedy this situation.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Spectacular air conditioner
  
",5.0 颗星，最多 5 颗星,Coffee lover,2023年1月6日 在美国审核,"







  
  
    Amazingly quiet, allows window to open, blocks very little window.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Worked well until I got the error code
  
",2.0 颗星，最多 5 颗星,Hugo ,2023年1月4日 在美国审核,"







  
  
    This unit worked well until I got the error code(EC 07) and not the unit turns off automatically.I bought this on May last year, not happy spending this amount of money for a machine that work only 7 months.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Damaged on arrival
  
",3.0 颗星，最多 5 颗星,thegoodvsthebad,2023年1月4日 在美国审核,"







  
  
    Unable to review properly due to Air conditioner being damaged on opening the box
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Very disappointed
  
",1.0 颗星，最多 5 颗星,michell,2023年1月4日 在美国审核,"







  
  
    I was so happy when I read the reviews I bought it very disappointed. The quietness is good fit in my window not bad. but what I’m Moses up on it and it’s not cool enough in the room and I even made the bigger size or the air condition bigger very disappointed not cool enough.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Crappy-crap, crap, crap!  What a piece of junk!
  
",1.0 颗星，最多 5 颗星,lacigol,2023年1月2日 在美国审核,"







  
  
    I purchased this unit for a bonus room above my garage a little over a year ago, and it plain and simple, and doesn't cool as expected.  The room size is within the 12,000 BTU range, but the unit simply isn't cooling as it should.  This includes turning off ECO mode, setting the temperature to the lowest (66 degrees), and the fan speed on high.  The warranty just went out at the end of October so I am stuck with a $500 u-shaped paperweight.  I definitely cannot recommend this brand to anyone, and if you see the name brand ""Midea,"" run in the other direction.  For reference, I had a GE unit (same 12,000 BTU) that lasted 6 years in the same room. Very disappointed...
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Watch for mold
  
",3.0 颗星，最多 5 颗星,Luke,2023年1月2日 在美国审核,"







  
  
    My girlfriend complained of an odor and upon inspection I found the AC was riddled with mold. We have a pretty dry climate in our house, so I looked it up. Apparently this is a known and frequent issue. There are forums on creating a hydrogen peroxide spray and drilling proper drainage holes. I like the design of the AC, and it did an ok job at cooling two rooms (1000BTU would expect more) but this is my first time dealing with mold in an AC unit.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Very quiet
  
",5.0 颗星，最多 5 颗星,Douglas A. Moul,2023年1月2日 在美国审核,"







  
  
    All you hear is the air flowing. All the noise is outside and you close the window over the unit to block out the noise. I use it in a large room; 14 x 28 and it makes it as cold as you want on very hot and uncomfortable days. I recommend this product.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Good
  
",5.0 颗星，最多 5 颗星,Robert Stambaugh,2023年1月1日 在美国审核,"







  
  
    Good 👍
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Good
  
",5.0 颗星，最多 5 颗星,Ken-x,2023年1月1日 在美国审核,"







  
  
    Good
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Avoid buying
  
",1.0 颗星，最多 5 颗星,Amazon Customer,2022年12月30日 在美国审核,"







  
  
    Don’t buy this unit unless you want to have a limited one year warranty and if you try to use the warranty to fix this unit be prepared to have to pay for it to get fixed because that’s what the customer service agent told me when this unit stopped working before the year warranty was up.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Love it
  
",5.0 颗星，最多 5 颗星,Antonio Santos,2022年12月29日 在美国审核,"







  
  
    It makes an anoying noise sometimes but great ac
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
