ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Cool comfort and quiet!
  
",5.0 颗星，最多 5 颗星,Bruce L Sr.,评论于 2022年10月15日 在美国 🇺🇸 发布,"







  
  
    Any future replacements will be this brand and style.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    This AC only worked for a month
  
",1.0 颗星，最多 5 颗星,Radhames,评论于 2022年10月15日 在美国 🇺🇸 发布,"







  
  
    Worse experience ever with this AC. It only worked for a month then started making a loud noise and it would not cool the room as much. I got in contact with Amazon and try to return it. I finally returned it and they told me it takes about 30 days to get my money back because the purchase was more than $300.00 now I’m contacting customer service and they are telling me I need to fill out this form to get my money back.. but they already have the AC with them for over a month! What is taking so long. I will never buy an AC from Amazon again. This brand is not good. And I would like my money back please. I don’t know what else I need to do. It’s not like I have the AC with me… I’m very dissatisfied with this purchase
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Bought for grandma
  
",5.0 颗星，最多 5 颗星,Rynoyes,评论于 2022年10月15日 在美国 🇺🇸 发布,"







  
  
    She likes it and it’s quiet
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Nice and quiet but a pain to install
  
",4.0 颗星，最多 5 颗星,Zella I. Pirello,评论于 2022年10月14日 在美国 🇺🇸 发布,"







  
  
    I got this mainly for the supposed energy efficiency , quietness and ability to let more light in home. However it was an unusual summer where we were running the AC is way more often than usual so I can't really attached to its energy efficiency.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Grest idea, so-so implementation
  
",3.0 颗星，最多 5 颗星,Sportsman,评论于 2022年10月14日 在美国 🇺🇸 发布,"







  
  
    I have 3 of these units, 2 8k btu and 1 12k btu. There are many things to like, energy efficient, quiet, nice looking. But there are some deficiencies in the design. The interior air fan, which is a squirrel cage blower, is prone to collect dirt and develop mold, and is not dedigned to be easily cleaned by the user. And on the 12k btu unit, there seems to be something in the software logic that prevents the unit ftom running at full capacity sometimes. It doesn't seem to have the cooling capacity of a traditional 12 k btu unit. I suggest a look at the Midea U Shaped Facebook users' group for info.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Best window unit hands down!
  
",5.0 颗星，最多 5 颗星,Willette Thompson,评论于 2022年10月14日 在美国 🇺🇸 发布,"







  
  
    This AC unit is ultra quiet, and easy to install. I love having many options to change the temperature on the unit without having to go over to it I easily paired it to my Wi-Fi with no issues. I will be buying more.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Brilliant!  Innovative.  Worth every penny.
  
",5.0 颗星，最多 5 颗星,Euphemism,评论于 2022年10月11日 在美国 🇺🇸 发布,"







  
  
    Fantastic product! Cooled a large three room, very high ceiling space in mid summer. And even with south facing windows and a large open staircase at the end. Energy efficient!!! Sound quality perfect. I loved that it did not block the light and, very important, provided security: it would be very difficult for someone to pull it out in order to gain access through the window.I am planning to buy a second one for a different space.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Super quiet and cooling works well!
  
",5.0 颗星，最多 5 颗星,Ernest Charles Stranz,评论于 2022年10月11日 在美国 🇺🇸 发布,"







  
  
    A bit complicated at first to put in the window but it’s  beautiful in operation and cools nicely. Planning on purchasing more for the bedrooms. The best part is the quiet operation as it subtly fills the room with the pleasant coolness desired. The 24,000 BTU unit comes with the pedestal so no need to purchase that as an extra. Enjoy your U-shaped window AC!
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    I love this unit, until it failed and Midea ghosted me. Midea does not stand behind their product.
  
",1.0 颗星，最多 5 颗星,Sasha Karcz,评论于 2022年10月10日 在美国 🇺🇸 发布,"







  
  
    I bought this unit June 28, 2020. Installation was easy, it was quiet and super powerful. The app was fantastic, and interfaced with Alexa and Google Home seamlessly. It worked without flaw until May 2022. This is when I contacted Midea for support.An error code appeared on the front panel would display the error code PC-00, and the compressor would no longer run. I contacted Midea, and they had no clue what the error was, but took my information and told me that the warranty had expired. Over the next 4-months, Midea would call me back periodically and say that it may be an issue with the compressor, and that was still under warranty and they would check to see what they could do. August rolled around and I just got sick of waiting to hear back, so I uninstalled the unit and threw it away. Several weeks later near September Midea called back and I told them that I just thew the unit away as it had been months since I initially contacted them.I loved the unit, I loved how quite it was. I recommended it to everyone I knew. Had I known that the company would refuse to stand behind their product and that I would have wasted $500 on it, I would never have purchased. I cannot in good faith recommend anyone to buy this as if it breaks, the company will not support their product at all.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_17?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=17
,"







  
  
    Best AC for your money
  
",5.0 颗星，最多 5 颗星,Patrick,评论于 2022年10月8日 在美国 🇺🇸 发布,"







  
  
    This is one of the best window shakers on the market. Very easy to install! We have awkward sized windows and were able to secure it just fine. It's quiet and cools very fast and efficiently. The compressor being on the other side of the window really makes a difference in noise level. JUST MAKE SURE YOU MEASURE YOUR WINDOW BEFORE YOU BUY. It will not secure correctly if your window is too small. Definitely worth the money! Remote can act as a Thermostat and it cycles and maintains the set temperature just perfectly.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Better than what I had before
  
",5.0 颗星，最多 5 颗星,Amazon Customer,评论于 2022年10月7日 在美国 🇺🇸 发布,"







  
  
    This is a very good AC windows unit.  I had a LG AC that is not window mounted.  It's very loud.  The Midea model is quieter, but not as quiet as I expected.  I think the compressor as being on the other side of the window is still quite loud.  However, it's much better than before.  I can sleep if I am really tired.  I think it's well worth the money.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Soooo quiet
  
",5.0 颗星，最多 5 颗星,trevor toner,评论于 2022年10月7日 在美国 🇺🇸 发布,"







  
  
    Love this a/c. It's a little complicated to install, but once it's in it's fantastic. You can still open the window with the unit in place. It really is extremely quiet in comparison to any other in window unit I've ever owned. It's also priced lower than far inferior units.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Looks great, looks modern, connects to phone easy but it is noisy
  
",3.0 颗星，最多 5 颗星,Christiancohl,评论于 2022年10月7日 在美国 🇺🇸 发布,"







  
  
    Lots of pros. Gets the job done. Looks better than normal window unit. Was hoping it would be quieter. Noise goes in and out
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    After two seasons runs great!
  
",5.0 颗星，最多 5 颗星,Patty O Furniture,评论于 2022年10月5日 在美国 🇺🇸 发布,"







  
  
    I have had this 12,000 BTU unit for two hot humid seasons and just works great. So quiet I have to look at it to see if is on. Easy to install. It took about 20-30 minutes the first time. Packing up for the winter now.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Lived up to the claims!
  
",5.0 颗星，最多 5 颗星,Shadow Catcher,评论于 2022年10月5日 在美国 🇺🇸 发布,"







  
  
    Very quiet and works perfectly in our house. We will be buying the 8,000 BTU next summer.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Quiet and work well!
  
",5.0 颗星，最多 5 颗星,Bear,评论于 2022年10月5日 在美国 🇺🇸 发布,"







  
  
    Nice look and works perfectly for summer. Our old one has very large noise so glad we bought this one.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    What's not to love?
  
",5.0 颗星，最多 5 颗星,Dad,评论于 2022年10月3日 在美国 🇺🇸 发布,"







  
  
    Fantastic window unit!  Easy to install, if you pay attention to the instructions and watch the Youtube video. But the best thing is how quiet it is!  Can't even tell it's running!  Have already recommended this unit to friends.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Recommend
  
",5.0 颗星，最多 5 颗星,Carlos,评论于 2022年10月3日 在美国 🇺🇸 发布,"







  
  
    Fit perfect. Easy to install. Cools great. Not too noisy
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Best decision I have made in a while
  
",5.0 颗星，最多 5 颗星,K Pow,评论于 2022年10月2日 在美国 🇺🇸 发布,"







  
  
    Will definitely be buying more of these units. Super fast delivery, and install took about 30 minutes. This unit cools a very large area quickly.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_18?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=18
,"







  
  
    Great product
  
",5.0 颗星，最多 5 颗星,Steve,评论于 2022年10月1日 在美国 🇺🇸 发布,"







  
  
    Works great. Low noise and easy to set up
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    A little hard to install, but great after
  
",5.0 颗星，最多 5 颗星,Andreea Denisov,评论于 2022年10月1日 在美国 🇺🇸 发布,"







  
  
    Nice
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    Perfect secondary unit
  
",5.0 颗星，最多 5 颗星,steve,评论于 2022年10月1日 在美国 🇺🇸 发布,"







  
  
    Had to install this in our front windows to help out our HVAC unit—it could not keep up during our 115* days!  It’s fairly quiet, not sure on efficiency yet as we haven’t gotten an electric bill!  It was worth it though!!
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    Unbelievably quiet
  
",5.0 颗星，最多 5 颗星,Penny Pinscher,评论于 2022年10月1日 在美国 🇺🇸 发布,"







  
  
    This is the first air conditioner I have ever owned that was so quiet I didn't have to turn the TV louder.  It's ultra quiet on auto and very quiet on cool.  It does a great job cooling.  I highly recommend it.
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    Takes 2 hours to install
  
",2.0 颗星，最多 5 颗星,Jackie D.,评论于 2022年9月30日 在美国 🇺🇸 发布,"







  
  
    After seeing that I would have to hire someone for up to 2 hours to install this, needing to find somoene, and adding at about $100 to it's cost, I returned it.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    Over the midea
  
",5.0 颗星，最多 5 颗星,Charles byham,评论于 2022年9月30日 在美国 🇺🇸 发布,"







  
  
    Awesome 👌
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    A LOT of work to mount
  
",2.0 颗星，最多 5 颗星,Ronald Lyscas,评论于 2022年9月29日 在美国 🇺🇸 发布,"







  
  
    Be prepared to spend A LOT OF TIME for bracket after bracket to secure to the window frame, and very little help fro any customer service, except to say that if it falls we are not held responsible for any damage. Oh well I guess it's China here in the Amazon territory.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    It comes with a mount
  
",5.0 颗星，最多 5 颗星,joshua,评论于 2022年9月29日 在美国 🇺🇸 发布,"







  
  
    Easy to install keeps the room really cold
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    Best purchase
  
",5.0 颗星，最多 5 颗星,LovelyLi,评论于 2022年9月28日 在美国 🇺🇸 发布,"







  
  
    After reading a lot of reviews and YouTube videos, I’m soo glad I purchased this AC. The AC is soo quiet you forget it’s on! It cools down my living room and dinning area. I installed the AC myself, the hardest part was the bracket . Total worth the price
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    Efficient and QUIET!
  
",5.0 颗星，最多 5 颗星,Buffobasso,评论于 2022年9月27日 在美国 🇺🇸 发布,"







  
  
    Though not easy to install it works beautifully!  Cools the space very well, is very quiet and looks beautiful as well.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_19?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=19
,"







  
  
    The best gift for a baby shower!
  
",5.0 颗星，最多 5 颗星,Sandra M.,评论于 2022年9月27日 在美国 🇺🇸 发布,"







  
  
    We gave this as a baby shower gift and it was the hit of the party.For someone who doesn't have whole house air-conditioning, and still wants to be able to open the window without removing the unit, this is a great choice. It's quiet (perfect for a bedroom) and takes up less space than traditional window units.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Slick design, good cooling, major issues with fan motor
  
",3.0 颗星，最多 5 颗星,ThatGuy,评论于 2022年9月27日 在美国 🇺🇸 发布,"







  
  
    Start with the good. I bought 4 of these for my home, and they install pretty easily. The design is good, I had hoped it wpuld reduce noise from the busy road near my house. Eh. But they themselves are very quiet! That is, until the fan motors fail. 2 of these units started emitting a high pitched wine anytime the fan is running. And of course it happened right after warranty period of one year. I am pretty mechanically skilled so changing out a motor is nbd to me, however this is where I have a bone to pick with Midea. They do not have a part number or sell this part that clearly fails and is an issue. Their support was very unhelpful, and the only way I replaced the motor was to open it up, get the part number, and order one from China on ebay. 70 bucks and an hour or so of repair time and it is quiet again, for how long? Who knows.  They should step up QC or extend warranty, and please ffs stock common parts that break. Maybe consider putting higher quality motors in a unit this pricey.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Simply put i loveit
  
",5.0 颗星，最多 5 颗星,steve,评论于 2022年9月26日 在美国 🇺🇸 发布,"







  
  
    Love it quiet as heck and coolslike crazy!
  
",尺寸: 12000 BTU样式: 交流电,尺寸: 12000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    would purchase again
  
",5.0 颗星，最多 5 颗星,Joseph Cruz,评论于 2022年9月25日 在美国 🇺🇸 发布,"







  
  
    very quiet, it gets very cold even at 72 degrees, shuts out the outdoor noise.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    The best window ac I have ever bought
  
",5.0 颗星，最多 5 颗星,Jacqueline Christensen,评论于 2022年9月25日 在美国 🇺🇸 发布,"







  
  
    We put plexiglass where window was open. It is a side slide window.
  
",尺寸: 10000 BTU样式: 交流电,尺寸: 10000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Cool quiet
  
",5.0 颗星，最多 5 颗星,Kmberly5,评论于 2022年9月25日 在美国 🇺🇸 发布,"







  
  
    Somewhat difficult installation.  Good quality product once it is installed.  I like the design.  Cools well. Quiet and easy to use. Would recommend this ac.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    won't buy again
  
",1.0 颗星，最多 5 颗星,Jenny yang,评论于 2022年9月24日 在美国 🇺🇸 发布,"







  
  
    It really doesn't make much noise, but you'll find black tar on the outside, and the cooling is average, not as good as a $100-plus device, and it's very bulky
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Defective out of the box
  
",3.0 颗星，最多 5 颗星,cat lover 69,评论于 2022年9月23日 在美国 🇺🇸 发布,"







  
  
    Was really excited to get this ac unit going in my new apartment, as I moved somewhere that geographically didn't previously need built-in ac units (thanks climate change). Got everything set up, plugged in, and on, and it was very quiet, which I was impressed with, for about 30 seconds until it turned off! Turned out, there was an error code that ended up being a broken temperature sensor. After speaking with customer service, had to pack it all up and send it back. So I would recommend that anyone who does take a chance on this unit, please plug it in and test it before you get it set up in your window. It did blow cold and it was decently quiet, but I can't rate higher than three stars because it was a lot of trouble to go through for something that I just had to turn around and send right back. Disappointed, but maybe others will have better luck.
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    fan is quiet but emits annoying high pitched noise
  
",3.0 颗星，最多 5 颗星,Rachel_NYC,评论于 2022年9月23日 在美国 🇺🇸 发布,"







  
  
    this AC looks nicer & sleeker than others I’ve had, cools well, and the fan is much quieter than the one I replaced (no more turning cup tje tv so we can hearing it over the AC).it would be a five star review if not for the annoying high pitched noise it makes when cooling!if you’re not sensitive to electronic noises or don’t have sensitive hearing it might not be a issue (it’s not a loud sound & some of my friends don’t notice it), but it’s extremely irritating if you do. I actually prefer the loud fan noise of my old AC over this. I searched online & saw that a bunch of other people have had the same issue with multiple units so it’s not worth the hassle for me to try and return, but I’m really disappointed my “quiet” AC is making this terrible sound. it happens during cooling only, not when just the fan is on
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Absolutely excellent
  
",5.0 颗星，最多 5 颗星,ricky,评论于 2022年9月23日 在美国 🇺🇸 发布,"







  
  
    Does everything as it should no issues
  
",尺寸: 8000 BTU样式: 交流电,尺寸: 8000 BTU样式: 交流电,https://www.amazon.com/Midea-Inverter-Conditioner-Flexibility-Installation/product-reviews/B08677DCKN/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Mideast AC
  
",5.0 ,Travis Bowles,"Reviewed in the United States 🇺🇸 April 13, 2023","







  
  
    This unit works well, I had to drill drain holes in the bottom to let the water drain out, and the unit freezes up after about 3 hours of use on high, but it blows cold air and works for our small space... will be replacing soon I believe, freezing up isn't a good sign on a brand new machine.
  
",Color: WhiteSize: 5000 BTU,Color: WhiteSize: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Delivered and possibly shipped on its side
  
",3.0 ,QC1,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    I just received this AC unit. It was delivered on its side. As anything with a compressor this is a no no. I will let it sit in its upright position for 24 hrs. before plugging it in and turning it on. Not doing so risks premature wear and damage to the compressor since the internal lubricant migrated from where it is supposed to be.
  
",Color: WhiteSize: 5000 BTU,Color: WhiteSize: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    heavy! definitely recommend having help to install
  
",5.0 ,Soup,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    unit itself is great and relatively quiet compared to others I've used. had to carry it up to my 3rd floor walk up and install it by myself, doable but not easy especially if you're of small stature. it's huge and very awkward to carry. mounting part seems like good quality. was able to get a pretty good seal.directions were easy to follow as well, you will need a philips head screwdriver6000 btu unit includes remote (battery included) which is a nice
  
",Color: WhiteSize: 6000 BTU,Color: WhiteSize: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Not getting cold
  
",1.0 ,Melissa,"Reviewed in the United States 🇺🇸 April 6, 2023","







  
  
    I just had this unit delivered yesterday and it is not getting cold. It is only running on fan or something. I've reset it followed instructions, but nothing is making it actually get cold. It just seems to blow around room temp air. Very diappointed.
  
",Color: WhiteSize: 5000 BTU,Color: WhiteSize: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
